"Student ID,Last name,First name,Gender,Date of Birth,Social ID"
"2010001,Nguyen Van,Anh,0,1/3/2002,217971885545"
"2010002,Tran Thi,Binh,0,15/2/2002,381001585395"
"2010003,Le Van,Chien,1,3/3/2002,362851894589"
"2010004,Pham Thi,Dung,0,18/10/2002,359063165539"
"2010005,Hoang Van,Duong,1,22/2/2002,422781972525"
"2010006,Huynh Thi,Eo,0,2/11/2002,312372690785"
"2010007,Nguyen Van,Giang,0,1/8/2002,168783953376"
"2010008,Tran Thi,Ha,1,1/12/2002,411112221235"
"2010009,Le Van,Hieu,1,17/7/2002,235052227944"
"2010010,Pham Thi,Hong,1,25/5/2002,292641233166"
"2010011,Hoang Van,Hung,0,1/11/2002,184043165244"
"2010012,Huynh Thi,Huong,0,19/2/2002,232132409740"
"2010013,Nguyen Van,Khanh,0,26/4/2002,373751274721"
"2010014,Tran Thi,Lan,1,25/12/2002,335042181947"
"2010015,Le Van,Long,0,2/12/2002,203351302322"
"2010016,Pham Thi,Mai,0,4/2/2002,239613598314"
"2010017,Hoang Van,Minh,1,29/1/2002,222363416724"
"2010018,Huynh Thi,Nga,1,15/2/2002,343232270016"
"2010019,Nguyen Van,Phong,1,21/7/2002,351911356557"
"2010020,Tran Thi,Quynh,0,24/12/2002,159682633450"
"2010021,Le Van,Quang,0,13/5/2002,392722445887"
"2010022,Pham Thi,Thu,1,19/11/2002,391602166789"
"2010023,Hoang Van,Thang,0,2/7/2002,310941382352"
"2010024,Huynh Thi,Uyen,0,7/5/2002,392964080758"
"2010025,Nguyen Van,Vuong,0,4/3/2002,250801904793"
"2010026,Tran Thi,Xuyen,1,15/8/2002,227432675936"
"2010027,Le Van,Yen,1,25/8/2002,386511857240"
"2010028,Pham Thi,Zu,1,13/7/2002,308221882143"
"2010029,Hoang Van,Anh,0,14/3/2002,234752991137"
"2010030,Huynh Thi,An,0,7/5/2002,288401344783"
"2010031,Nguyen Van,Bac,1,2/11/2002,161673620414"
"2010032,Tran Thi,Bach,1,21/1/2002,345514021463"
"2010033,Le Van,Cuong,0,22/12/2002,117992701425"
"2010034,Pham Thi,Dung,0,7/2/2002,303602587584"
"2010035,Hoang Van,Dung,0,23/3/2002,302572945552"
"2010036,Huynh Thi,Eo,1,2/5/2002,391771894079"
"2010037,Nguyen Van,Giau,0,21/8/2002,426122214754"
"2010038,Tran Thi,Hanh,0,17/12/2002,393062006521"
"2010039,Le Van,Hiep,1,26/4/2002,309473405335"
"2010040,Pham Thi,Hue,1,23/11/2002,327452345648"
"2010041,Hoang Van,Huy,0,9/8/2002,126542579420"
"2010042,Huynh Thi,Huong,1,23/6/2002,405943888893"
"2010043,Nguyen Van,Khanh,0,23/1/2002,404771933432"
"2010044,Tran Thi,Lan,0,7/1/2002,122451137259"
"2010045,Le Van,Loi,1,8/3/2002,421104085939"
"2010046,Pham Thi,Mai,0,19/8/2002,118973069353"
"2010047,Hoang Van,Minh,0,5/8/2002,348961508196"
"2010048,Huynh Thi,Nhi,0,10/4/2002,136982695820"
"2010049,Nguyen Van,Phuoc,0,2/5/2002,223832772321"
"2010050,Tran Thi,Que,1,4/12/2002,295023247597"
