"Student ID, Last name, First name, Gender, Date of Birth, Social ID"
"2010051,Le Van,Quyen,0,11/7/2002,427541310289"
"2010052,Pham Thi,Thanh,0,14/4/2002,316374229871"
"2010053,Hoang Van,Thanh,0,30/2/2002,363233723268"
"2010054,Huynh Thi,Thao,0,12/1/2002,341932945331"
"2010055,Nguyen Van,Tien,1,12/7/2002,348943672779"
"2010056,Tran Thi,Uyen,1,1/5/2002,246193191073"
"2010057,Le Van,Vuong,1,29/3/2002,124932011235"
"2010058,Pham Thi,Xinh,0,27/11/2002,108401536473"
"2010059,Hoang Van,Yen,0,24/11/2002,313301780114"
"2010060,Huynh Thi,Zuyen,1,26/6/2002,395081870125"
"2010061,Nguyen Van,An,1,13/5/2002,225183368055"
"2010062,Tran Thi,Anh,0,25/3/2002,246212407721"
"2010063,Le Van,Bao,1,23/8/2002,320023822262"
"2010064,Pham Thi,Cam,0,24/7/2002,285612571182"
"2010065,Hoang Van,Dai,1,2/4/2002,418512668741"
"2010066,Huynh Thi,Dan,1,12/6/2002,155793423480"
"2010067,Nguyen Van,Gia,1,7/4/2002,335381851692"
"2010068,Tran Thi,Hang,0,13/4/2002,146843195011"
"2010069,Le Van,Hien,1,25/4/2002,259322145163"
"2010070,Pham Thi,Huyen,0,13/12/2002,396544182310"
"2010071,Hoang Van,Khai,0,17/9/2002,337423310083"
"2010072,Huynh Thi,Lan,1,31/7/2002,150063064178"
"2010073,Nguyen Van,Manh,1,5/11/2002,395963796039"
"2010074,Tran Thi,Ngan,1,3/3/2002,386593854883"
"2010075,Le Van,Phu,0,12/10/2002,237793982295"
"2010076,Pham Thi,Quyen,0,13/1/2002,177212601876"
"2010077,Hoang Van,Son,0,2/12/2002,137492206296"
"2010078,Huynh Thi,Thuy,0,19/12/2002,239622706458"
"2010079,Nguyen Van,Trung,0,27/10/2002,336213957083"
"2010080,Tran Thi,Thu,1,6/2/2002,121583422632"
"2010081,Le Van,Tuan,1,26/12/2002,140353989772"
"2010082,Pham Thi,Uyen,0,5/2/2002,185054029886"
"2010083,Hoang Van,Vuong,1,23/6/2002,341221061491"
"2010084,Huynh Thi,Xuan,1,26/3/2002,393492276958"
"2010085,Nguyen Van,Yen,1,4/5/2002,384711767390"
"2010086,Tran Thi,Yen,1,30/8/2002,192973380772"
"2010087,Le Van,Anh,0,21/10/2002,234191087781"
"2010088,Pham Thi,Bich,0,2/9/2002,336901791348"
"2010089,Hoang Van,Binh,0,2/5/2002,321644259419"
"2010090,Huynh Thi,Chau,1,16/10/2002,131611160111"
"2010091,Nguyen Van,Cong,0,26/5/2002,355122215674"
"2010092,Tran Thi,Dieu,0,17/2/2002,127641955467"
"2010093,Le Van,Dung,1,18/10/2002,208191252481"
"2010094,Pham Thi,Ha,1,23/1/2002,129522498856"
"2010095,Hoang Van,Hien,1,9/11/2002,382422782170"
"2010096,Huynh Thi,Hoa,0,4/5/2002,255031850955"
"2010097,Nguyen Van,Huan,0,18/9/2002,353441064266"
"2010098,Tran Thi,Huong,0,16/10/2002,159661168173"
"2010099,Le Van,Hung,1,28/4/2002,156002907022"
"2010100,Pham Thi,Lan,0,29/4/2002,225211788496"
