Student ID, Last name, First name, Gender, Date of Birth, Social ID,Average Score
2020001,Tran Thi Thanh,Binh,0,5/1/2002,335771703123,10
2020002,Trieu Tien,Thinh,1,6/3/2002,382331540974,9
2020003,Le Gia,Uyen,0,10/8/2002,260253386395,9.5
2020004,Khe Nu My,Chung,0,3/6/2002,241821116481,8
2020005,Le Quy,Thanh,1,27/3/2002,378971693641,5
2020006,Pham Trung,Son,1,16/2/2002,272631456147,4
2020007,Le Tuan,Manh,1,31/8/2002,349083704512,7
2020008,Huynh Cong,Lan,0,16/3/2002,364473100084,3
2020009,Nguyen Ngoc,Minh,0,21/10/2002,157241789216,2
2020010,Pham Hong,Duc,1,28/8/2002,393412238920,9
2020011,Dam Tran Thu,Lai,0,23/11/2002,179743309638,7
2020012,Tran Vinh,Phong,1,8/8/2002,222203137676,8
2020013,Do Thi,Diem,0,20/5/2002,157841675725,9.5
2020014,Truong Anh,Vinh,1,27/7/2002,228532584770,10
2020015,Nguyen Van Ha,Long,1,25/5/2002,354861297876,7
2020016,Doan Minh,Man,1,2/9/2002,139244018161,8
2020017,Pham Trung,Son,0,24/12/2002,133374170032,9
2020018,Tran Hong,Quan,1,8/12/2002,338082653178,8.6
2020019,Nguyen Le Hoai,An,1,3/8/2002,168331810671,9.5
2020020,Le Ngoc,Phong,0,20/9/2002,148312539214,5.4
2020021,Vu Van,Duoc,1,10/3/2002,257561538148,6
2020022,Nguyen Doan,Thang,1,3/4/2002,206663594936,5.5
2020023,Pham Duy Giac,Nguyen,1,8/11/2002,256163013814,7.5
2020024,Huynh Cong,Lan,1,24/5/2002,153253164318,7.8
2020025,Nguyen Le Bich,Hang,0,1/8/2002,356063180214,6.4
2020026,Le Ngoc Anh,Quan,1,7/1/2002,392502572052,7
2020027,Le Quy,Thanh,1,12/7/2002,373121232053,8
2020028,Nguyen Le Hoai,An,0,22/1/2002,132464237498,8
2020029,Vo Khoa,Nam,0,20/2/2002,161093106784,9
2020030,Nguyen Khanh,Duy,1,6/4/2002,130042934241,10
2020031,Le Vuong Nho,Anh,1,3/8/2002,159463684652,3
2020032,Nguyen Thi Ly,Ngan,1,12/8/2002,383452629375,4.5
2020033,Ha Thi,An,0,15/6/2002,262511890365,6
2020034,Doan Huynh,Nhu,1,10/3/2002,216333505332,7
2020035,Ngo Minh,Le,0,19/10/2002,276273948444,6
2020036,Nguyen Hoang Tu,An,0,8/3/2002,169843708751,2
2020037,Luu Vo Phuong,Thanh,0,4/4/2002,150731174054,8
2020038,Pham Duy Giac,Nguyen,0,22/7/2002,367793024626,9
2020039,Nguyen Tran Phuoc,Trung,1,6/11/2002,30499206604,1
2020040,Tran Le Duc,Duy,1,23/3/2002,341523870230,0
2020041,Dang Tran Hong,Nu,1,13/5/2002,232633505518,-
2020042,Tran Ha,Long,0,17/1/2002,222523359840,8.9
2020043,Dinh Nguyen Thuy,An,1,13/5/2002,292403765186,9.0
2020044,Thai Ngoc Phuong,Thanh,1,8/9/2002,425241325284,7
2020045,Nguyen Ngoc,Minh,1,3/4/2002,284151111313,8
2020046,Nguyen Dinh,Khanh,1,17/10/2002,383421660721,9
2020047,Tran Vu,Quoc,0,23/3/2002,370422065278,9
2020048,Nguyen Huynh,Xuan,1,26/7/2002,343612385859,0
2020049,Do Phuong,Loi,1,8/8/2002,237372763788,7.8
2020050,Nguyen Ngoc,Minh,0,8/10/2002,225624221511,9
